customer_id,customer_name,total_sales,total_refunds,cltv,customer_segment
36,Joshua Taylor,1945.88,0.0,1945.88,Medium
36,Linda Dodson DVM,1595.73,0.0,1595.73,Medium
36,Sara Medina,1512.72,0.0,1512.72,Medium
36,Timothy Stanton,142.25,0.0,142.25,Low
37,Allison Hill,802.35,0.0,802.35,Low
37,Diana Bean,1418.96,0.0,1418.96,Medium
37,Kathleen Sanchez,436.12,0.0,436.12,Low
37,Michele Williams,143.16,0.0,143.16,Low
38,Christopher Becker,1549.47,0.0,1549.47,Medium
38,Corey Herrera,1055.31,0.0,1055.31,Medium
38,David Arnold,2759.87,0.0,2759.87,High
38,James Morgan,1902.45,0.0,1902.45,Medium
38,Javier Johnson,2557.66,0.0,2557.66,High
38,Justin Johnson,1427.76,0.0,1427.76,Medium
38,Matthew Gomez,2623.87,0.0,2623.87,High
38,Richard Aguirre,351.05,0.0,351.05,Low
39,Barry Hensley,1936.11,103.22,1832.8899999999999,Medium
39,James Ferrell,592.43,103.22,489.2099999999999,Low
39,Kimberly Robinson,2914.44,103.22,2811.2200000000003,High
39,Matthew Wood,382.65,103.22,279.42999999999995,Low
39,Roger Vargas,1929.61,103.22,1826.3899999999999,Medium
40,Anna Walker,2300.61,0.0,2300.61,High
40,Austin Smith,2629.76,0.0,2629.76,High
40,James Martin,2436.74,0.0,2436.74,High
40,Justin Baxter,455.69,0.0,455.69,Low
41,Amanda Cook,442.32,0.0,442.32,Low
41,Corey Wilson,2883.72,0.0,2883.72,High
41,Jennifer Bass,2112.56,0.0,2112.56,High
42,John Calhoun,1101.86,0.0,1101.86,Medium
43,Brittney Phillips,2436.53,0.0,2436.53,High
43,Desiree Smith,601.22,0.0,601.22,Low
43,Emily Rios,2789.27,0.0,2789.27,High
43,Melanie Herrera,1021.12,0.0,1021.12,Medium
43,Veronica Ferguson,1079.88,0.0,1079.88,Medium
44,Christian Lewis,2276.71,0.0,2276.71,High
44,Deborah Figueroa,1515.57,0.0,1515.57,Medium
44,Victoria Wyatt,2382.37,0.0,2382.37,High
45,David Caldwell,2647.7,0.0,2647.7,High
45,Jeremiah Lopez,531.41,0.0,531.41,Low
45,Jerry Wheeler,2944.14,0.0,2944.14,High
46,Christine Wright,2656.4,782.77,1873.63,Medium
46,Lindsey Walker,1311.26,782.77,528.49,Low
46,Maria Lynch,1696.91,782.77,914.1400000000001,Low
46,Scott Wilson,2959.15,782.77,2176.38,High
47,Brandon Davis,2706.74,0.0,2706.74,High
47,John Atkinson,782.58,0.0,782.58,Low
47,Joshua Holland,1547.8,0.0,1547.8,Medium
48,Courtney Velasquez,1613.76,0.0,1613.76,Medium
48,Jennifer Martin,1700.1,0.0,1700.1,Medium
48,Kimberly Adkins,145.53,0.0,145.53,Low
48,Nathan Freeman,805.11,0.0,805.11,Low
48,Richard Graham,2688.55,0.0,2688.55,High
49,Robert Chase,121.01,0.0,121.01,Low
49,Trevor Walker,830.88,0.0,830.88,Low
50,Jeffrey Cox PhD,1657.16,937.83,719.33,Low
